Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.1027,Sat Jun 23 23:00:14 +0000 2018,0.069,0.931,0.0,A Japanese employee has been docked half a day's pay for repeatedly leaving his desk a few minutes early to eat lun… https://t.co/Gh9jLimaBj,31,@CNN
0.0,Sat Jun 23 17:58:03 +0000 2018,0.0,1.0,0.0,"First, it was a small bump under her left eye. Five days later, it appeared above the eye. Her upper lip was bulgin… https://t.co/rUpZy6ibeA",32,@CNN
0.7184,Sat Jun 23 14:00:09 +0000 2018,0.0,0.731,0.269,"""Quit trying to make us feel teary-eyed for the children. Yes, I love children a great deal, but to me, it's up to… https://t.co/kvqDAANTDp",33,@CNN
0.0,Sat Jun 23 09:01:07 +0000 2018,0.0,1.0,0.0,"Otzi, a 5,300-year-old glacier mummy found in the Italian Alps, is older than the Giza pyramids and Stonehenge. The… https://t.co/FF1jPktnLW",34,@CNN
0.0,Sat Jun 23 04:15:07 +0000 2018,0.0,1.0,0.0,Every single person in charge of law and order in this Georgia town is a black woman https://t.co/tgvlvnBqfF https://t.co/tNrX1j9lEE,35,@CNN
-0.4404,Sat Jun 23 00:53:04 +0000 2018,0.184,0.711,0.105,"""It's like they're putting a knife in your chest and killing you.""

A Guatemalan immigrant reunited with her son ea… https://t.co/gtA28XntCX",36,@CNN
0.128,Fri Jun 22 21:31:17 +0000 2018,0.096,0.786,0.118,NASA has a new plan to stop asteroids and help scientists detect near-Earth objects they haven't been able to find… https://t.co/ZN71CjGOKi,37,@CNN
0.0,Fri Jun 22 17:43:05 +0000 2018,0.0,1.0,0.0,Here's how Chipotle is making a comeback https://t.co/G8ELWNTsA7 https://t.co/Fa61nNvtCJ,38,@CNN
0.0,Fri Jun 22 14:20:06 +0000 2018,0.0,1.0,0.0,"First, it was a small bump under her left eye. Five days later, it appeared above the eye. Her upper lip was bulgin… https://t.co/pquLaOMzDU",39,@CNN
-0.5106,Fri Jun 22 10:41:57 +0000 2018,0.171,0.829,0.0,More than 30 children became sick at a Florida summer camp about 100 miles southeast of Tampa https://t.co/DZSEhtf6Y2,40,@CNN
-0.9042,Fri Jun 22 06:39:05 +0000 2018,0.449,0.551,0.0,"""These tragic deaths are a reminder that wars and poverty continue to drive people to take desperate journeys that… https://t.co/SnsJMlhTk3",41,@CNN
0.0,Fri Jun 22 02:21:14 +0000 2018,0.0,1.0,0.0,"RT @CNNTonight: The family separation controversy is a “crisis entirely of the President’s own making,” says @DonLemon. It is a “policy tha…",42,@CNN
-0.296,Fri Jun 22 00:51:18 +0000 2018,0.099,0.901,0.0,“We did not have that policy or practice. ... It’s not something I would have permitted.” There was no formal polic… https://t.co/WzU1BJmHcb,43,@CNN
-0.4449,Thu Jun 21 23:31:09 +0000 2018,0.157,0.843,0.0,"""I'm not sure what can be done but it's not fair separating the parents from the children.""

What new US citizens t… https://t.co/N2AnhpX4SW",44,@CNN
0.0,Thu Jun 21 21:28:37 +0000 2018,0.0,1.0,0.0,RT @CNNSitRoom: The head of the National Border Patrol Council tells @wolfblitzer that the “vast majority” of immigrants trying to cross th…,45,@CNN
-0.5943,Thu Jun 21 18:45:06 +0000 2018,0.246,0.657,0.097,"""It's not fair for a mother... It's like they're putting a knife in your chest and killing you"": This Guatemalan mo… https://t.co/EKC2CrOYnT",46,@CNN
-0.128,Thu Jun 21 15:30:00 +0000 2018,0.116,0.788,0.095,"Here's how stress tests measure a bank's ability to react to an economic downturn, and why more banks are now passi… https://t.co/ZW4uAeXkaQ",47,@CNN
0.0,Thu Jun 21 12:45:13 +0000 2018,0.0,1.0,0.0,"There are 239 children in one New York City shelter because of Trump's ""zero-tolerance"" policy, mayor says https://t.co/paXUYk1W6d",48,@CNN
0.0,Thu Jun 21 09:16:26 +0000 2018,0.0,1.0,0.0,Gatorade is going sugarless for the first time in its 53-year-history https://t.co/u6elc4kKDI https://t.co/7Madt2Yu7T,49,@CNN
0.3612,Thu Jun 21 04:46:00 +0000 2018,0.0,0.889,0.111,"After three years of restoration at Yosemite National Park, some of the world's biggest trees are ready to view aga… https://t.co/5kKDJnQCqy",50,@CNN
-0.3612,Thu Jun 21 02:01:00 +0000 2018,0.135,0.865,0.0,"President Trump apparently criticized Sen. John McCain's vote against repealing Obamacare, without naming him, at a… https://t.co/sfbCheJK0D",51,@CNN
0.0,Thu Jun 21 00:11:04 +0000 2018,0.0,1.0,0.0,Canada becomes second nation in the world to legalize marijuana https://t.co/SxBcnP0CGR https://t.co/I768rhRKTo,52,@CNN
-0.4767,Wed Jun 20 22:23:11 +0000 2018,0.17,0.83,0.0,"Iran may have suffered defeat in their second #WorldCup game at Russia 2018, but the occasion could yet prove to be… https://t.co/tNmS4pJCgd",53,@CNN
-0.0258,Wed Jun 20 20:14:23 +0000 2018,0.124,0.756,0.12,"Support for Democratic House candidates has ticked up slightly to 50%, according to a CNN poll conducted by SSRS https://t.co/Us3qsiytyB",54,@CNN
0.0,Wed Jun 20 18:09:56 +0000 2018,0.0,1.0,0.0,"The future is here. This week, teamLab opens its 107,000 square-foot digital-only museum in Tokyo | via @CNNStyle… https://t.co/OvF89Gqkvg",55,@CNN
-0.296,Wed Jun 20 14:50:07 +0000 2018,0.099,0.901,0.0,"""These people that we have coming across the border illegally are breaking the rules. I have no feelings for them a… https://t.co/MXFFEWYvLM",56,@CNN
0.0,Wed Jun 20 12:30:00 +0000 2018,0.0,1.0,0.0,"""Womp womp."" 

While appearing on Fox News, former Trump campaign manager Corey Lewandowski appeared to dismiss the… https://t.co/BKb39lG5Ry",57,@CNN
-0.4019,Wed Jun 20 09:08:03 +0000 2018,0.236,0.764,0.0,Philadelphia immigration protesters line up empty children's shoes near Mike Pence's hotel https://t.co/AcAqVdpogo https://t.co/fvK3I76r2c,58,@CNN
-0.1027,Wed Jun 20 05:01:06 +0000 2018,0.085,0.915,0.0,"Muslims and other religious minorities in New York have experienced widespread bias, discrimination and harassment,… https://t.co/vaDbEZEj1j",59,@CNN
0.0,Wed Jun 20 02:26:34 +0000 2018,0.0,1.0,0.0,"""Womp womp."" While appearing on Fox News, former Trump campaign manager Corey Lewandowski dismissed the story of a… https://t.co/CzPex598xB",60,@CNN
-0.5719,Wed Jun 20 01:12:19 +0000 2018,0.139,0.861,0.0,"RT @AC360: “My first reaction was of horror. I just wanted to burst into tears… I then started to get mad,” says civil rights attorney Jenn…",61,@CNN
0.4019,Tue Jun 19 23:53:57 +0000 2018,0.0,0.891,0.109,"RT @CNNSitRoom: Phil Mudd on Tom Homan's exchange with @WolfBlitzer: He's got 2 options: 1, say yes it's humane and take every mirror down…",62,@CNN
-0.4939,Tue Jun 19 22:12:05 +0000 2018,0.181,0.819,0.0,"The US' move to leave the UN Human Rights Council, which the Trump administration has threatened for months, came d… https://t.co/Q7k9F40jJI",63,@CNN
